Run Number,Time,Queue Length
1.0,0,0
1.0,10,0
1.0,20,0
1.0,30,1
1.0,40,0
1.0,50,1
1.0,60,0
1.0,70,0
1.0,80,0
1.0,90,0
1.0,100,1
1.0,110,0
1.0,120,0
1.0,130,0
1.0,140,0
1.0,150,1
1.0,160,1
1.0,170,0
1.0,180,0
1.0,190,3
1.0,200,2
1.0,210,0
1.0,220,0
1.0,230,0
1.0,240,0
1.0,250,1
1.0,260,0
1.0,270,1
1.0,280,0
1.0,290,0
1.0,300,0
1.0,310,0
1.0,320,0
1.0,330,0
1.0,340,0
1.0,350,0
1.0,360,0
1.0,370,0
1.0,380,0
1.0,390,0
1.0,400,0
1.0,410,1
1.0,420,0
1.0,430,0
1.0,440,0
1.0,450,0
1.0,460,0
1.0,470,2
1.0,480,2
1.0,490,1
1.0,500,0
1.0,510,1
1.0,520,0
1.0,530,2
1.0,540,0
1.0,550,0
1.0,560,0
1.0,570,1
1.0,580,2
1.0,590,4
1.0,600,1
1.0,610,2
1.0,620,0
1.0,630,0
1.0,640,2
1.0,650,1
1.0,660,0
1.0,670,0
1.0,680,2
1.0,690,0
1.0,700,0
1.0,710,0
1.0,720,1
1.0,730,0
1.0,740,1
1.0,750,1
1.0,760,0
1.0,770,0
1.0,780,0
1.0,790,0
1.0,800,0
1.0,810,0
1.0,820,0
1.0,830,1
1.0,840,0
1.0,850,1
1.0,860,0
1.0,870,0
1.0,880,0
1.0,890,0
1.0,900,0
1.0,910,0
1.0,920,0
1.0,930,0
1.0,940,0
1.0,950,0
1.0,960,0
1.0,970,0
1.0,980,0
1.0,990,0
1.0,1000,0
1.0,1010,0
1.0,1020,0
1.0,1030,1
1.0,1040,0
1.0,1050,0
1.0,1060,0
1.0,1070,0
1.0,1080,0
1.0,1090,1
1.0,1100,0
1.0,1110,0
1.0,1120,0
1.0,1130,0
1.0,1140,0
1.0,1150,1
1.0,1160,0
1.0,1170,0
1.0,1180,0
1.0,1190,1
1.0,1200,4
1.0,1210,6
1.0,1220,7
1.0,1230,4
1.0,1240,3
1.0,1250,3
1.0,1260,4
1.0,1270,2
1.0,1280,2
1.0,1290,2
1.0,1300,1
1.0,1310,0
1.0,1320,0
1.0,1330,0
1.0,1340,0
1.0,1350,2
1.0,1360,0
1.0,1370,0
1.0,1380,0
1.0,1390,0
1.0,1400,0
1.0,1410,0
1.0,1420,0
1.0,1430,0
1.0,1440,0
1.0,1450,1
1.0,1460,0
1.0,1470,0
1.0,1480,0
1.0,1490,0
1.0,1500,0
1.0,1510,0
1.0,1520,0
1.0,1530,1
1.0,1540,0
1.0,1550,0
1.0,1560,0
1.0,1570,1
1.0,1580,3
1.0,1590,0
1.0,1600,2
