Run Number,Time,Queue Length
1.0,0,0
1.0,10,0
1.0,20,0
1.0,30,1
1.0,40,3
1.0,50,0
1.0,60,2
1.0,70,4
1.0,80,4
1.0,90,3
1.0,100,2
1.0,110,1
1.0,120,2
1.0,130,4
1.0,140,4
1.0,150,8
1.0,160,7
1.0,170,5
1.0,180,3
1.0,190,5
1.0,200,6
1.0,210,5
1.0,220,5
1.0,230,5
1.0,240,3
1.0,250,4
1.0,260,3
1.0,270,4
1.0,280,5
1.0,290,8
1.0,300,7
1.0,310,8
1.0,320,8
1.0,330,11
1.0,340,12
1.0,350,13
1.0,360,9
1.0,370,7
1.0,380,7
1.0,390,8
1.0,400,9
1.0,410,8
1.0,420,11
1.0,430,9
1.0,440,7
1.0,450,7
1.0,460,5
1.0,470,4
1.0,480,5
1.0,490,5
1.0,500,5
1.0,510,4
1.0,520,3
1.0,530,4
1.0,540,7
1.0,550,6
1.0,560,4
1.0,570,0
1.0,580,0
1.0,590,0
1.0,600,0
1.0,610,0
1.0,620,0
1.0,630,0
1.0,640,0
1.0,650,0
1.0,660,0
1.0,670,0
1.0,680,0
1.0,690,0
1.0,700,0
1.0,710,0
1.0,720,0
1.0,730,0
1.0,740,0
1.0,750,0
1.0,760,0
1.0,770,1
1.0,780,0
1.0,790,0
1.0,800,0
1.0,810,0
1.0,820,0
1.0,830,0
1.0,840,0
1.0,850,0
1.0,860,0
1.0,870,1
1.0,880,1
1.0,890,0
1.0,900,0
1.0,910,0
1.0,920,0
1.0,930,0
1.0,940,0
1.0,950,0
1.0,960,0
1.0,970,0
1.0,980,0
1.0,990,0
1.0,1000,0
1.0,1010,0
1.0,1020,0
1.0,1030,0
1.0,1040,0
1.0,1050,0
1.0,1060,0
1.0,1070,0
1.0,1080,0
1.0,1090,0
1.0,1100,0
1.0,1110,0
1.0,1120,0
1.0,1130,0
1.0,1140,0
1.0,1150,0
1.0,1160,0
1.0,1170,0
1.0,1180,0
1.0,1190,0
1.0,1200,0
1.0,1210,0
1.0,1220,0
1.0,1230,0
1.0,1240,0
1.0,1250,0
1.0,1260,0
1.0,1270,0
1.0,1280,0
1.0,1290,0
1.0,1300,0
1.0,1310,0
1.0,1320,0
1.0,1330,4
1.0,1340,6
1.0,1350,5
1.0,1360,4
1.0,1370,2
1.0,1380,2
1.0,1390,0
1.0,1400,0
1.0,1410,0
1.0,1420,0
1.0,1430,0
1.0,1440,0
1.0,1450,0
1.0,1460,0
1.0,1470,1
1.0,1480,0
1.0,1490,0
1.0,1500,0
1.0,1510,1
1.0,1520,0
1.0,1530,0
1.0,1540,0
1.0,1550,0
1.0,1560,0
1.0,1570,0
1.0,1580,5
1.0,1590,5
1.0,1600,8
