Simulation Time,Hour of Day,Queue Length,Run Number
0,0,0,1.0
1,0,0,1.0
2,0,0,1.0
3,0,0,1.0
4,0,0,1.0
5,0,0,1.0
6,0,0,1.0
7,0,0,1.0
8,0,0,1.0
9,0,0,1.0
10,0,0,1.0
11,0,0,1.0
12,0,0,1.0
13,0,0,1.0
14,0,0,1.0
15,0,0,1.0
16,0,0,1.0
17,0,0,1.0
18,0,0,1.0
19,0,0,1.0
20,0,0,1.0
21,0,0,1.0
22,0,0,1.0
23,0,0,1.0
24,0,0,1.0
25,0,0,1.0
26,0,0,1.0
27,0,0,1.0
28,0,0,1.0
29,0,0,1.0
30,0,0,1.0
31,0,0,1.0
32,0,0,1.0
33,0,0,1.0
34,0,0,1.0
35,0,0,1.0
36,0,0,1.0
37,0,0,1.0
38,0,0,1.0
39,0,0,1.0
40,0,0,1.0
41,0,0,1.0
42,0,0,1.0
43,0,0,1.0
44,0,0,1.0
45,0,0,1.0
46,0,0,1.0
47,0,0,1.0
48,0,0,1.0
49,0,0,1.0
50,0,0,1.0
51,0,0,1.0
52,0,0,1.0
53,0,0,1.0
54,0,0,1.0
55,0,0,1.0
56,0,0,1.0
57,0,0,1.0
58,0,0,1.0
59,0,0,1.0
60,1,0,1.0
61,1,0,1.0
62,1,0,1.0
63,1,0,1.0
64,1,0,1.0
65,1,0,1.0
66,1,0,1.0
67,1,0,1.0
68,1,0,1.0
69,1,0,1.0
70,1,0,1.0
71,1,0,1.0
72,1,0,1.0
73,1,0,1.0
74,1,0,1.0
75,1,0,1.0
76,1,0,1.0
77,1,0,1.0
78,1,0,1.0
79,1,0,1.0
80,1,0,1.0
81,1,0,1.0
82,1,0,1.0
83,1,0,1.0
84,1,0,1.0
85,1,0,1.0
86,1,0,1.0
87,1,0,1.0
88,1,0,1.0
89,1,0,1.0
90,1,0,1.0
91,1,0,1.0
92,1,0,1.0
93,1,0,1.0
94,1,0,1.0
95,1,0,1.0
96,1,0,1.0
97,1,0,1.0
98,1,0,1.0
