Simulation Time,Hour of Day,Queue Length,Run Number
0,0,0,1.0
60,1,0,1.0
120,2,0,1.0
180,3,0,1.0
240,4,0,1.0
300,5,0,1.0
360,6,0,1.0
420,7,0,1.0
480,8,0,1.0
540,9,0,1.0
600,10,0,1.0
660,11,0,1.0
720,12,0,1.0
780,13,0,1.0
840,14,0,1.0
900,15,3,1.0
960,16,2,1.0
1020,17,0,1.0
1080,18,1,1.0
1140,19,2,1.0
1200,20,2,1.0
1260,21,0,1.0
1320,22,1,1.0
1380,23,3,1.0
1440,0,1,1.0
1500,1,1,1.0
1560,2,0,1.0
1620,3,0,1.0
1680,4,2,1.0
1740,5,3,1.0
1800,6,2,1.0
1860,7,2,1.0
1920,8,1,1.0
1980,9,0,1.0
2040,10,0,1.0
2100,11,0,1.0
2160,12,0,1.0
2220,13,0,1.0
2280,14,0,1.0
2340,15,0,1.0
2400,16,0,1.0
2460,17,3,1.0
2520,18,3,1.0
2580,19,2,1.0
2640,20,1,1.0
2700,21,3,1.0
2760,22,4,1.0
2820,23,4,1.0
